subnum,trial,baseImage,stimCode,type,probeCond,probe,x,y,probeFile,clickResp,corr,time1,time2,responsetime,size,Centrality
105,20,i264,3,ABSENT,2,2,26,141,Stimuli/Probes/i264-2.png,0,1,255702,258921,3219,172,143
105,21,i264,3,ABSENT,2,1,-264,103,Stimuli/Probes/i264-1.png,0,1,263814,265049,1235,155,283
105,22,i9,23,ABSENT,3,1,-234,30,Stimuli/Probes/i9-1.png,0,1,270093,271104,1011,92,236
105,23,i9,103,PRESENT,5,1,-234,30,Stimuli/Probes/i9-1.png,1,1,274045,275680,1635,92,236
105,24,i294,20,ABSENT,2,3,310,152,Stimuli/Probes/i294-3.png,0,1,283118,284647,1529,259,345
105,25,i294,3,PRESENT,4,3,310,152,Stimuli/Probes/i294-3.png,1,1,288309,289408,1099,259,345
105,26,i9,3,ABSENT,2,1,-234,30,Stimuli/Probes/i9-1.png,0,1,293869,294840,971,92,236
105,27,i294,0,ABSENT,1,2,-237,-211,Stimuli/Probes/i294-2.png,0,1,300428,303551,3123,237,317
105,28,i294,103,PRESENT,5,1,-239,260,Stimuli/Probes/i294-1.png,1,1,317156,318095,939,238,353
105,29,i294,0,ABSENT,1,1,-239,260,Stimuli/Probes/i294-1.png,0,1,321876,323719,1843,238,353
105,30,i264,0,ABSENT,1,1,-264,103,Stimuli/Probes/i264-1.png,1,0,329836,333766,3930,155,283
105,31,i294,120,PRESENT,5,2,-237,-211,Stimuli/Probes/i294-2.png,1,1,341316,342647,1331,237,317
105,32,i9,103,ABSENT,3,2,30,45,Stimuli/Probes/i9-2.png,0,1,346907,348246,1339,104,54
105,33,i9,0,ABSENT,1,2,30,45,Stimuli/Probes/i9-2.png,0,1,354107,354966,859,104,54
105,34,i9,103,PRESENT,5,3,248,74,Stimuli/Probes/i9-3.png,1,1,357363,358214,851,80,259
105,35,i294,3,ABSENT,2,1,-239,260,Stimuli/Probes/i294-1.png,0,1,360499,361222,723,238,353
105,36,i9,3,PRESENT,4,3,248,74,Stimuli/Probes/i9-3.png,1,1,363531,364261,730,80,259
105,37,i264,100,ABSENT,2,3,389,-8,Stimuli/Probes/i264-3.png,0,1,366683,367366,683,161,389
105,38,i294,3,ABSENT,2,2,-237,-211,Stimuli/Probes/i294-2.png,0,1,372187,372846,659,237,317
105,39,i264,20,PRESENT,4,2,26,141,Stimuli/Probes/i264-2.png,1,1,375981,376765,784,172,143
